video;face_name;start_frame;end_frame;total_frame;start_time;end_time;duration
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_09_19_00/2001_05_09_19_00.mpg;Takenori KANZAKI.jpg;5561;6745;35961;278;337;59
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_09_19_00/2001_05_09_19_00.mpg;Takenori KANZAKI.jpg;13449;13809;35961;672;690;18
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_09_19_00/2001_05_09_19_00.mpg;Yukio HATOYAMA.jpg;13853;14785;35961;693;739;46
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_10_19_00/2001_05_10_19_00.mpg;Kazuo SHII.jpg;15173;15461;35949;759;773;14
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_17_19_00/2001_05_17_19_00.mpg;Yasuo FUKUDA.jpg;2545;3069;35961;127;153;26
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_18_19_00/2001_05_18_19_00.mpg;Junichiro KOIZUMI.jpg;453;729;35961;22;36;14
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_18_19_00/2001_05_18_19_00.mpg;Yoshihiko Noda.jpg;18069;18217;35961;903;911;8
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_22_19_00/2001_05_22_19_00.mpg;Junichiro KOIZUMI.jpg;5817;6161;35949;291;308;17
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_22_19_00/2001_05_22_19_00.mpg;Junichiro KOIZUMI.jpg;9057;10097;35949;453;505;52
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_22_19_00/2001_05_22_19_00.mpg;Taro ASO.jpg;10173;10305;35949;509;515;6
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_23_19_00/2001_05_23_19_00.mpg;Junichiro KOIZUMI.jpg;2493;8637;35957;124;432;308
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_23_19_00/2001_05_23_19_00.mpg;Junichiro KOIZUMI.jpg;16685;16901;35957;834;845;11
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_23_19_00/2001_05_23_19_00.mpg;Yasuo FUKUDA.jpg;14361;14661;35957;718;733;15
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_23_19_00/2001_05_23_19_00.mpg;Yasuo FUKUDA.jpg;17057;17317;35957;853;866;13
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_30_19_00/2001_05_30_19_00.mpg;Junichiro KOIZUMI.jpg;2009;2633;35957;100;131;31
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_30_19_00/2001_05_30_19_00.mpg;Toranosuke Katayama.jpg;3517;3753;35957;175;187;12
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_30_19_00/2001_05_30_19_00.mpg;Toranosuke Katayama.jpg;23173;23301;35957;1159;1165;6
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_31_19_00/2001_05_31_19_00.mpg;Junichiro KOIZUMI.jpg;1525;1845;35957;76;92;16
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_31_19_00/2001_05_31_19_00.mpg;Junichiro KOIZUMI.jpg;1949;2741;35957;97;137;40
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_31_19_00/2001_05_31_19_00.mpg;Junichiro KOIZUMI.jpg;2825;2981;35957;141;149;8
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_31_19_00/2001_05_31_19_00.mpg;Junichiro KOIZUMI.jpg;3081;5137;35957;154;257;103
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_31_19_00/2001_05_31_19_00.mpg;Junichiro KOIZUMI.jpg;7761;8065;35957;388;403;15
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_05_31_19_00/2001_05_31_19_00.mpg;Junichiro KOIZUMI.jpg;8529;8681;35957;426;434;8
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_06_13_19_00/2001_06_13_19_00.mpg;Junichiro KOIZUMI.jpg;1669;1765;36001;83;88;5
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_06_13_19_00/2001_06_13_19_00.mpg;Junichiro KOIZUMI.jpg;1893;1893;36001;94;94;0
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_06_13_19_00/2001_06_13_19_00.mpg;Junichiro KOIZUMI.jpg;1965;2013;36001;98;100;2
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_06_13_19_00/2001_06_13_19_00.mpg;Junichiro KOIZUMI.jpg;2101;2161;36001;105;108;3
