video;face_name;start_frame;end_frame;total_frame;start_time;end_time;duration
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;45581;46133;209805;2281;2308;27
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;46325;46765;209805;2318;2340;22
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;47157;47301;209805;2360;2367;7
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;47493;47897;209805;2376;2397;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;48221;48861;209805;2413;2445;32
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;49037;49549;209805;2454;2479;25
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;49777;50209;209805;2491;2512;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;50341;50625;209805;2519;2533;14
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;50845;51025;209805;2544;2553;9
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;51129;51757;209805;2558;2590;32
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;51881;52257;209805;2596;2615;19
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;52385;52785;209805;2621;2641;20
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;52873;53297;209805;2646;2667;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;53545;53865;209805;2679;2695;16
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;2297;2613;91121;114;130;16
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;12377;12429;91121;619;621;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;13501;13581;91121;675;679;4
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;16425;16485;91121;821;824;3
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;16625;17249;91121;831;863;32
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;19485;19577;91121;975;979;4
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_06_04_56/2014_01_06_21_54.mpg;Shinzo ABE.jpg;50469;50565;91121;2525;2530;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_07_04_56/2014_01_07_21_54.mpg;Shinzo ABE.jpg;26489;27181;91125;1325;1360;35
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_07_04_56/2014_01_07_21_54.mpg;Shinzo ABE.jpg;28061;28101;91125;1404;1406;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_07_04_56/2014_01_07_21_54.mpg;Shinzo ABE.jpg;47429;47433;91125;2373;2373;0
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_07_04_56/2014_01_07_21_54.mpg;Shinzo ABE.jpg;73957;74085;91125;3700;3707;7
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_09_04_56/2014_01_09_22_09.mpg;Shinzo ABE.jpg;72157;72281;91121;3610;3617;7
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_09_04_56/2014_01_09_22_09.mpg;Shinzo ABE.jpg;72585;72649;91121;3632;3635;3
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_09_04_56/2014_01_09_22_09.mpg;Shinzo ABE.jpg;72745;72945;91121;3640;3650;10
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_09_04_56/2014_01_09_22_09.mpg;Shinzo ABE.jpg;73673;73693;91121;3686;3687;1
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_10_04_56/2014_01_10_21_54.mpg;Junichiro KOIZUMI.jpg;36773;37169;91113;1840;1860;20
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_14_04_56/2014_01_14_21_54.mpg;Shinzo ABE.jpg;13345;14249;91117;667;713;46
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_15_04_56/2014_01_15_21_54.mpg;Shinzo ABE.jpg;11713;11749;91117;586;587;1
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_15_04_56/2014_01_15_21_54.mpg;Shinzo ABE.jpg;13269;13405;91117;664;670;6
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_15_04_56/2014_01_15_21_54.mpg;Shinzo ABE.jpg;13517;13813;91117;676;691;15
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_15_04_56/2014_01_15_21_54.mpg;Akihiro OHTA.jpg;24405;24821;91117;1221;1242;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_20_04_56/2014_01_20_21_54.mpg;Shinzo ABE.jpg;15125;15261;91121;756;763;7
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_20_04_56/2014_01_20_21_54.mpg;Shinzo ABE.jpg;29877;30057;91121;1495;1504;9
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_20_04_56/2014_01_20_21_54.mpg;Shinzo ABE.jpg;67925;67977;91121;3399;3401;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_20_04_56/2014_01_20_21_54.mpg;Shinzo ABE.jpg;68065;68261;91121;3406;3416;10
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_20_04_56/2014_01_20_21_54.mpg;Yukio HATOYAMA.jpg;27997;28149;91121;1401;1408;7
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_21_04_56/2014_01_21_21_54.mpg;Akihiro OHTA.jpg;28221;28309;91113;1412;1416;4
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_21_04_56/2014_01_21_21_54.mpg;Shinzo ABE.jpg;35541;35929;91113;1778;1798;20
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_22_04_56/2014_01_22_21_54.mpg;Yukio HATOYAMA.jpg;7901;8597;91117;395;430;35
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_23_04_56/2014_01_23_21_54.mpg;Shinzo ABE.jpg;64449;64465;91117;3225;3226;1
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_23_04_56/2014_01_23_21_54.mpg;Shinzo ABE.jpg;64685;65033;91117;3237;3254;17
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_23_04_56/2014_01_23_21_54.mpg;Shinzo ABE.jpg;65417;65489;91117;3273;3277;4
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_23_04_56/2014_01_23_21_54.mpg;Shinzo ABE.jpg;65157;65249;91117;3260;3265;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_24_04_56/2014_01_24_21_54.mpg;Natsuo YAMAGUCHI.jpg;30689;31017;91121;1535;1552;17
